BULAN,TAHUN,DISTRIBUTOR,KOTA,PRINSIPAL,PRODUK,BRAND,JENIS,UKURAN,QTY
Juli,2026,VM PKU,PEKANBARU,PODA,KAYA TOAST V1 9MG,ORAMA,FREEBASE,30ML,5
Juli,2026,DATU VAPOR SAMPIT,SAMPIT,RAYS,KAYA TOAST V1 9MG,ORAMA,FREEBASE,30ML,50
Juli,2026,BLACKJACK,BOGOR,PODA,KAYA TOAST V1 9MG,ORAMA,FREEBASE,30ML,10
Juli,2026,VB DISTRI,TANGERANG,RAYS,KAYA TOAST V1 9MG,ORAMA,FREEBASE,30ML,50
Juli,2026,VAPE ON,SURABAYA,RAYS,KAYA TOAST V1 9MG,ORAMA,FREEBASE,30ML,50
Januari,2026,VB DISTRI,TANGERANG,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Januari,2026,DP88,PONTIANAK,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,300
Januari,2026,SENTRAL,CIMAHI,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Januari,2026,BED,BANDUNG,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Januari,2026,FVS,BANDUNG,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,180
Januari,2026,VM MEDAN,MEDAN,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
Januari,2026,VAPEBRAND,BALI,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
Januari,2026,BLACKJACK,BOGOR,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Januari,2026,LOMBOK VAPE,LOMBOK,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Januari,2026,OVS MAKASSAR,MAKASAR,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Januari,2026,VB DISTRI,TANGERANG,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Januari,2026,VAPOR PRO,SURABAYA,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
Januari,2026,FVS,BANDUNG,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
Januari,2026,VM PKU,PEKANBARU,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Januari,2026,JESMAR BALI,BALI,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Januari,2026,MILDOS TANGERANG,TANGERANG,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,20
Januari,2026,SEGITIGA MAS,BOGOR,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Januari,2026,MAMANINI PT.ACIMA GLOBAL MANDIRI,JAKARTA,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,20
Januari,2026,BED,BANDUNG,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,77
Januari,2026,FVS,BANDUNG,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
Februari,2026,BED,BANDUNG,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,225
Februari,2026,BLACKJACK,BOGOR,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,75
Februari,2026,DP88,PONTIANAK,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,150
Februari,2026,FVS,BANDUNG,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,1498
Februari,2026,JESMAR BALI,BALI,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Februari,2026,LOMBOK VAPE,LOMBOK,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,75
Februari,2026,MAGIC,BALI,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Februari,2026,MAMANINI PT.ACIMA GLOBAL MANDIRI,JAKARTA,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,75
Februari,2026,MILDOS TANGERANG,TANGERANG,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,75
Februari,2026,OVS MAKASSAR,MAKASAR,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Februari,2026,OVS MANADO,MANADO,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Februari,2026,RAYS,JAKARTA,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Februari,2026,S3 VAPE,SALATIGA,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Februari,2026,SEGITIGA MAS,BOGOR,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,250
Februari,2026,SENTRAL,CIMAHI,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Februari,2026,VAPE ON,SURABAYA,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,750
Februari,2026,VAPEBRAND,BALI,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,250
Februari,2026,VAPEHAN,JAKARTA,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Februari,2026,VAPEX (RV),BALI,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,75
Februari,2026,VB DISTRI,TANGERANG,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
Februari,2026,VM MEDAN,MEDAN,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Februari,2026,VM PKU,PEKANBARU,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Februari,2026,ANGKASA VAPOR,SAMPIT,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Februari,2026,ABUNAWAS,PALEMBANG,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,25
Februari,2026,EJ33 BANJARMASIN,BANJARMASIN,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Februari,2026,EJ33 SAMARINDA,SAMARINDA,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Februari,2026,FVS,BANDUNG,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,150
Februari,2026,VSP,SEMARANG,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,250
Februari,2026,BED,BANDUNG,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,225
Februari,2026,BLACKJACK,BOGOR,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,75
Februari,2026,DP88,PONTIANAK,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,150
Februari,2026,FVS,BANDUNG,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,1497
Februari,2026,JESMAR BALI,BALI,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Februari,2026,LOMBOK VAPE,LOMBOK,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,75
Februari,2026,MAGIC,BALI,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Februari,2026,MAMANINI PT.ACIMA GLOBAL MANDIRI,JAKARTA,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,75
Februari,2026,MILDOS TANGERANG,TANGERANG,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,75
Februari,2026,OVS MAKASSAR,MAKASAR,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Februari,2026,OVS MANADO,MANADO,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Februari,2026,RAYS,JAKARTA,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Februari,2026,S3 VAPE,SALATIGA,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Februari,2026,SEGITIGA MAS,BOGOR,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,250
Februari,2026,SENTRAL,CIMAHI,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,30
Februari,2026,VAPE ON,SURABAYA,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,750
Februari,2026,VAPEBRAND,BALI,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,250
Februari,2026,VAPEHAN,JAKARTA,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Februari,2026,VAPEX (RV),BALI,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,75
Februari,2026,VB DISTRI,TANGERANG,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
Februari,2026,VM MEDAN,MEDAN,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Februari,2026,VM PKU,PEKANBARU,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Februari,2026,ANGKASA VAPOR,SAMPIT,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Februari,2026,ABUNAWAS,PALEMBANG,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,25
Februari,2026,EJ33 BANJARMASIN,BANJARMASIN,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Februari,2026,EJ33 SAMARINDA,SAMARINDA,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Februari,2026,FVS,BANDUNG,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,150
Februari,2026,VSP,SEMARANG,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,250
Maret,2026,BED,BANDUNG,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
Maret,2026,BLACKJACK,BOGOR,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Maret,2026,FVS,BANDUNG,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,1100
Maret,2026,LOMBOK VAPE,LOMBOK,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Maret,2026,MILDOS LAMPUNG,LAMPUNG,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Maret,2026,OMAH VAPE,SOLO,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Maret,2026,SEGITIGA MAS,BOGOR,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,300
Maret,2026,SENTRAL,CIMAHI,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,300
Maret,2026,VAPEBRAND,BALI,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,800
Maret,2026,VM HANZO,PONTIANAK,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Maret,2026,VM MEDAN,MEDAN,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,300
Maret,2026,VM PKU,PEKANBARU,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
Maret,2026,VSP,SEMARANG,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,150
Maret,2026,MAMANINI PT.ACIMA GLOBAL MANDIRI,JAKARTA,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Maret,2026,VAPORKING SURABAYA,SURABAYA,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
Maret,2026,VAPORKING MALANG,MALANG,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Maret,2026,OVS MAKASSAR,MAKASAR,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Maret,2026,VAPEHAN,JAKARTA,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Maret,2026,VAPEX (RV),BALI,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Maret,2026,MAGIC,BALI,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
Maret,2026,VB DISTRI,TANGERANG,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
Maret,2026,VAPOR PIDIE,ACEH,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Maret,2026,TWENTY ONE VAPE,BANJARMASIN,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Maret,2026,IVS,TANGERANG,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Maret,2026,VM PKU,PEKANBARU,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Maret,2026,RAYS,JAKARTA,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,300
Maret,2026,VAPEXPRESS,BOGOR,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Maret,2026,VM CVK,PALEMBANG,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Maret,2026,ANGKASA VAPOR,SAMPIT,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Maret,2026,MAGIC,BALI,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Maret,2026,VAPE ON,SURABAYA,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,2000
Maret,2026,EJ33 BANJARMASIN,BANJARMASIN,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,150
Maret,2026,EJ33 SAMARINDA,SAMARINDA,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,250
Maret,2026,MAMANINI PT.ACIMA GLOBAL MANDIRI,JAKARTA,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,150
Maret,2026,MILDOS LAMPUNG,LAMPUNG,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
Maret,2026,S3 VAPE,SALATIGA,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
Maret,2026,BED,BANDUNG,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
Maret,2026,IVS,TANGERANG,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Maret,2026,CYCLOZ,BANDUNG,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,500
Maret,2026,DP88,PONTIANAK,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Maret,2026,BLACKJACK,BOGOR,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
Maret,2026,SEGITIGA MAS,BOGOR,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Maret,2026,VM MEDAN,MEDAN,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,500
April,2026,BED,BANDUNG,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,300
April,2026,CLOUDVAPING,BANDUNG,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
April,2026,FVS,BANDUNG,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,500
April,2026,MAMANINI PT.ACIMA GLOBAL MANDIRI,JAKARTA,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,42
April,2026,OVS MAKASSAR,MAKASAR,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,400
April,2026,S3 VAPE,SALATIGA,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,300
April,2026,SARANG VAPERS,JAKARTA,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,30
April,2026,SEGITIGA MAS,BOGOR,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,300
April,2026,SINAR PKU,PEKANBARU,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
April,2026,TOM VAPOR GASS,JAKARTA,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
April,2026,TOM VAPOR,JAKARTA,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
April,2026,VAPEHITZ,BANDUNG,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,150
April,2026,VAPING BANJARMASIN,BANJARMASIN,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
April,2026,VM CVK,PALEMBANG,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,150
April,2026,VSP,SEMARANG,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,300
April,2026,BED,BANDUNG,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,150
April,2026,BLACKJACK,BOGOR,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
April,2026,IVS,TANGERANG,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,150
April,2026,MAMANINI PT.ACIMA GLOBAL MANDIRI,JAKARTA,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
April,2026,NV DISTRI,JAKARTA,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
April,2026,POWER,BALI,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
April,2026,VM MEDAN,MEDAN,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,500
April,2026,FVS,BANDUNG,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
April,2026,NN VAPE,JAKARTA,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,150
April,2026,SENTRAL,CIMAHI,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
April,2026,VAPE OI,JAKARTA,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
April,2026,VB DISTRI,TANGERANG,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,400
April,2026,VM CVK,PALEMBANG,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
April,2026,VM HANZO,PONTIANAK,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
April,2026,BED,BANDUNG,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,300
April,2026,VAPEX (RV),BALI,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,150
April,2026,DP88,PONTIANAK,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,400
April,2026,FVS,BANDUNG,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
April,2026,JESMAR BALI,BALI,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
April,2026,MAGIC,BALI,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,150
April,2026,MILDOS LAMPUNG,LAMPUNG,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,150
April,2026,MR VAPE TANGERANG,TANGERANG,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
April,2026,OVS MAKASSAR,MAKASAR,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,400
April,2026,SEGITIGA MAS,BOGOR,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,400
April,2026,VB DISTRI,TANGERANG,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,400
April,2026,BED,BANDUNG,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
April,2026,BLACKJACK,BOGOR,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
April,2026,DP88,PONTIANAK,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,400
April,2026,FVS,BANDUNG,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,800
April,2026,JESMAR BALI,BALI,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
April,2026,MAGIC,BALI,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,150
April,2026,MILDOS LAMPUNG,LAMPUNG,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,150
April,2026,OVS MAKASSAR,MAKASAR,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,400
April,2026,SEGITIGA MAS,BOGOR,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,400
April,2026,SENTRAL,CIMAHI,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
April,2026,VAPE ON,SURABAYA,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,2000
April,2026,VAPING BANJARMASIN,BANJARMASIN,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
April,2026,VAPORKING JOGJA,YOGYAKARTA,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
April,2026,VAPORKING MALANG,MALANG,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
April,2026,VAPORKING SURABAYA,SURABAYA,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,250
April,2026,VB DISTRI,TANGERANG,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,400
April,2026,VM JEMBER,JEMBER,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
April,2026,DATU VAPOR SAMPIT,SAMPIT,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
April,2026,OVS MANADO,MANADO,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
April,2026,RAYS,JAKARTA,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,300
April,2026,VAPEX (RV),BALI,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,250
April,2026,VM CVK,PALEMBANG,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
April,2026,VAPEBRAND,BALI,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,500
April,2026,VENOM,MOJOKERTO,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,75
April,2026,VM PKU,PEKANBARU,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
April,2026,MILDOS TANGERANG,TANGERANG,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
April,2026,SENTRAL,CIMAHI,PODA,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
April,2026,CLOUDVAPING,BANDUNG,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,300
April,2026,IVS,TANGERANG,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
April,2026,POWER,BALI,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
April,2026,TWENTY ONE VAPE,BANJARMASIN,RAYS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,60
April,2026,JANUAR,JAKARTA,FVS,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
